site,Month,Rep,un24log,Rem24,Rem48,Brd cell,incoming,outg,Guard,mite,wastetrans
1,1,1,0.805172111,0.223607,5.48179,5.385164807,4,4,1.414213562,0.596959,0.545445
1,1,2,1.425721831,0.223607,5.48179,25.65151068,6.8556546,8.888194417,1.732050808,0.371001,0.534611
1,1,3,1.43290481,0.223607,5.48179,26.0959767,5.385164807,8.717797887,2,0.699119,0.63762
1,1,4,1.562753226,0.223607,5.48179,35.53871129,4.898979486,6.403124237,1.732050808,0.660246,0.584869
1,1,5,1.426672592,0.223607,5.48179,25.70992026,4.242640687,7.280109889,1,0.596959,0.543968
1,1,6,1.254561677,1.0247,5.48179,16.97056275,1,1,1.732050808,0.371001,0.678386
1,2,1,1.52379462,2.01246,5.005,32.40370349,2.236067977,5.744562647,2.236067977,0.818629,0.529574
1,2,2,1.710949707,0.223607,5.10392,50.39841267,3.31662479,6.708203932,2.645751311,0.877518,0.539401
1,2,3,1.654742435,1.43178,4.90408,44.15880433,3,6,3,0.749341,0.510607
1,2,4,1.559721831,0.223607,5.48179,35.28455753,2.828427125,6.480740698,3.872983346,0.699119,0.506321
1,2,5,1.633588658,0.223607,5.48179,42.01190308,3.741657387,7.483314774,2,0.596959,0.55387
1,2,6,1.479355869,1.0247,3.87943,29.15475947,4.358898944,5.656854249,0,0.910227,0.577705
1,3,1,1.60595668,1.43178,5.02494,39.36051321,1.414213562,2,0,0.660246,0.555207
1,3,2,1.770725062,1.0247,5.14296,57.98275606,3.872983346,8.185352772,5.744562647,0.985791,0.539401
1,3,3,1.700911107,1.74642,5.08429,49.2239779,3.741657387,7.211102551,4.242640687,0.844946,0.57337
1,3,4,1.625007491,2.65518,5.08429,41.1703777,3.464101615,4.69041576,2.236067977,0.910227,0.534611
1,3,5,1.71880983,1.0247,5.20096,51.33712107,4.69041576,7.211102551,2.449489743,0.660246,0.484201
1,3,6,1.424766807,1.0247,5.37122,25.59296778,4.242640687,5.099019514,5,0.921456,0.506321
1,4,1,1.531285294,1.0247,5.38981,32.984845,2.645751311,5.830951895,1.414213562,0.72727,0.562873
1,4,2,1.719737244,0.223607,5.48179,51.44900388,3.16227766,8.544003745,2.449489743,0.818629,0.522427
1,4,3,1.744490316,0.223607,5.38981,54.52522352,3,7.280109889,1.732050808,0.910227,0.580838
1,4,4,1.684868077,0.223607,5.38981,47.40253158,2.828427125,7.745966692,2.449489743,0.934643,0.516698
1,4,5,1.648780264,0.223607,5.48179,43.54308211,3.16227766,7.211102551,1.414213562,0.596959,0.512681
1,4,6,1,0.223607,0.223607,9,0,3.872983346,1.414213562,1.11362,0.532961
1,5,1,1.389825084,1.0247,5.20096,23.53720459,4,4.582575695,1,0.968072,0.89976
1,5,2,1.591941948,0.223607,5.20096,38.07886553,4.795831523,6.480740698,2.236067977,0.98398,0.916004
1,5,3,1.612518879,0.223607,5.10392,39.97499218,3.464101615,4.242640687,1.414213562,1.03264,0.96588
1,5,4,1.574625367,0.223607,5.38981,36.55133376,3,3.741657387,1,0.976363,0.908222
1,5,5,1.501173028,0.223607,5.20096,30.70830507,2.645751311,5.567764363,1.732050808,0.991023,0.923206
1,5,6,0,0.223607,0.223607,0,0,0,0,0.371001,0.371001
2,1,1,1.711117297,0.223607,5.48179,50.41825066,6.244997998,5.477225575,4.242640687,0.699119,0.629029
2,1,2,1.655286204,1.0247,5.48179,44.21538194,6.32455532,5,5.477225575,0.371001,0.643899
2,1,3,1.643567417,1.0247,4.00625,43.01162634,6,5.477225575,3,0.596959,0.655411
2,1,4,1.750676418,0.223607,5.48179,55.32178594,4.898979486,4.242640687,4.69041576,0.660246,0.629029
2,1,5,1.707995534,0.223607,5.48179,50.04997502,5.916079783,3.605551275,4.898979486,0.72727,0.671847
2,1,6,1.644140202,1.74642,5.10392,43.06971093,1.732050808,2.449489743,3.31662479,0.371001,0.499507
2,2,1,1.804883538,0.223607,5.10392,62.80923499,8.185352772,10.81665383,4.472135955,0.808061,0.539401
2,2,2,1.741274673,2.83725,5.29623,54.11561697,8.94427191,10.29563014,3.16227766,0.72727,0.55387
2,2,3,1.712015863,1.43178,4.90408,50.52474641,5.744562647,8.124038405,3,1.00219,0.522427
2,2,4,1.782958465,1.43178,5.48179,59.66783053,7.141428429,5.291502622,4.582575695,0.596959,0.484201
2,2,5,1.750013325,0.223607,5.20096,55.23585792,7.071067812,8.062257748,6.633249581,0.699119,0.566496
2,2,6,1.7208609,2.01246,5.29623,51.58488151,5.477225575,9.486832981,5.099019514,0.72727,0.531282
2,3,1,1.770184688,0.806226,5.48179,57.90941202,6.8556546,9.695359715,3.31662479,0.999137,0.551141
2,3,2,1.759517402,1.11803,5.39907,56.48008499,4.795831523,7.549834435,2.828427125,0.934643,0.545445
2,3,3,1.747693944,0.974679,5.42679,54.93632678,6.480740698,8.366600265,3.605551275,0.818629,0.51471
2,3,4,1.817713973,2.13307,5.42679,64.7224845,6.557438524,8.306623863,6.164414003,0.660246,0.508488
2,3,5,1.818020048,2.39792,5.39907,64.76881966,7,8.124038405,3.872983346,0.596959,0.423293
2,3,6,1.811971723,0.223607,5.48179,63.85922016,5.477225575,7.937253933,2.828427125,0.371001,0.585852
2,4,1,1.878053091,0.223607,0.223607,74.51845409,7.874007874,10.44030651,4.472135955,0.948923,0.478486
2,4,2,1.611987941,3.00832,5.005,39.92492956,5.477225575,9.055385138,4,0.699119,0.492165
2,4,3,1.621094778,0.223607,5.48179,40.79215611,7.348469228,9.38083152,4.582575695,0.782885,0.55387
2,4,4,1.854424475,1.43178,5.005,70.51950085,6,10.72380529,5.385164807,0.901946,0.716915
2,4,5,1.856182531,1.43178,5.48179,70.80960387,5.385164807,10.53565375,3.872983346,0.660246,0.423293
2,4,6,1.759316647,1.43178,4.80104,56.45352071,7,9.055385138,3.31662479,0.828191,0.596959
2,5,1,1.688434716,1.0247,5.48179,47.80167361,8.124038405,6.244997998,2.449489743,1.06865,0.548334
2,5,2,1.386413972,1.0247,5.48179,23.34523506,5.830951895,6.557438524,1.414213562,0.699119,0.501833
2,5,3,1.285624928,0.223607,5.29623,18.30300522,11.87434209,10.04987562,2,0.83692,0.522427
2,5,4,1.619689061,0.223607,0.223607,40.6571027,5.291502622,5,3,0.660246,0.484201
2,5,5,1.6429931,1.0247,5.38981,42.95346319,10.04987562,9.746794345,3,0.931512,0.56884
2,5,6,1.418944945,1.43178,5.29623,25.23885893,6.244997998,9.110433579,2.828427125,0.83692,0.484201
