Treatment,Dead mean,Alive mean,Weight mean,Dead group,Alive group,Weight group
Maize,0.65,16.44,249.4575,a,a,b
Wheat,0.705,15.805,249.9175,a,b,a
L01,0.3875,18.05,248.53125,b,a,e
L02,0.4125,17.6375,248.8125,b,a,d
L03,0.775,15.3375,250.275,a,b,b
L04,0.8375,15.0125,250.125,a,b,c
L05,0.975,14.575,250.69375,a,c,a
Day1,1.25,18.75,250.6625,a,a,a
Day10,0.5,13.325,249,bc,g,h
Day2,0.7,18.05,250.275,bc,b,b
Day3,0.75,17.375,249.9625,b,c,c
Day4,0.325,17.025,249.7875,c,c,cd
Day5,0.625,16.4,249.6625,bc,d,de
Day6,0.4,16.025,249.55,bc,de,ef
Day7,0.55,15.5,249.45,bc,ef,ef
Day8,0.55,14.95,249.3375,bc,f,fg
Day9,1.125,13.825,249.1875,a,g,gh
Maize:L01,0.325,17.925,248.0625,c,ab,f
Maize:L02,0.4,17.825,248.6875,bc,ab,e
Maize:L03,0.725,15.975,249.95,ab,c,c
Maize:L04,0.85,15.25,249.875,a,d,c
Maize:L05,0.95,15.225,250.7125,a,d,a
Wheat:L01,0.45,18.175,249,bc,a,d
Wheat:L02,0.425,17.45,248.9375,bc,b,d
Wheat:L03,0.825,14.7,250.6,a,d,a
Wheat:L04,0.825,14.775,250.375,a,d,b
Wheat:L05,1,13.925,250.675,a,e,a
CV,114.22948428703721,8.49352880996906,0.18406057044570612,,,
F-value (crop),0.5050685748360179,21.50336124376598,100.18449976515193,,,
F-value (Dosage),9.281156827668473,109.36130372523155,345.78240958196363,,,
F-value (Day),5.949976810441942,66.25896037753148,48.450915922969806,,,
F-value (Crop:Dosage),0.11896243291592001,4.608244041110911,13.193306716768912,,,
